Lake Name,Lake Acronym,Fish Number,Unique_ID,Mass (g),Sex,Need Redo,Source/Destination,,ToScan,Scanned? ,Returned? ,Neuromast Counts?,,
Fred Lake,FL,021,FL.X24.021,0.73,F,,Destination,,,,,,,
Fred Lake,FL,022,FL.X24.022,3.90,M,,Destination,,,,,,,
Fred Lake,FL,023,FL.X24.023,2.61,F,,Destination,,,,,,,
Fred Lake,FL,024,FL.X24.024,2.67,F,,Destination,,,,,,,
Fred Lake,FL,025,FL.X24.025,1.83,F,,Destination,,,,,,,
Fred Lake,FL,026,FL.X24.026,2.02,F,,Destination,,,,,,,
Fred Lake,FL,027,FL.X24.027,1.44,F,,Destination,,,,,,,
Fred Lake,FL,028,FL.X24.028,1.02,F,,Destination,,,,,,,
Fred Lake,FL,029,FL.X24.029,1.77,F,,Destination,,,,,,,
Fred Lake,FL,030,FL.X24.030,1.00,F,,Destination,,,,,,,
Fred Lake,FL,031,FL.X24.031,2.33,F,,Destination,,,,,,,
South Rolly,SR,001,SR.X24.001,,F,,Source,Y,,,,,,
